name,position,event_attendance,meeting_attendance,duty_participation,submitted_works,competition_participation,chat_activity,activity_status
Member_29,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_30,Vice Chair,10/10,10/10,10/10,53,16,Very Active,Very Active
Member_31,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_32,Vice Chair,5/10,5/10,6/10,5,3,Rarely Active,Moderate
Member_33,Supervisor,10/10,10/10,10/10,36,19,Very Active,Very Active
Member_34,Department Head,10/10,10/10,10/10,57,11,Very Active,Very Active
Member_35,Staff,10/10,10/10,10/10,39,16,Very Active,Very Active
Member_36,Division Head,10/10,10/10,10/10,46,18,Very Active,Very Active
Member_37,Staff,2/10,3/10,2/10,5,0,Rarely Active,Rarely Active
Member_38,Vice Chair,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_39,Staff,1/10,2/10,2/10,5,0,Inactive,Rarely Active
Member_40,Staff,6/10,7/10,4/10,11,2,Rarely Active,Moderate
Member_41,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_42,Staff,7/10,7/10,6/10,11,1,Active,Moderate
Member_43,Supervisor,9/10,8/10,8/10,26,3,Active,Active
Member_44,Supervisor,9/10,9/10,8/10,16,3,Active,Active
Member_45,Vice Chair,10/10,10/10,10/10,30,11,Very Active,Very Active
Member_46,Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_47,Staff,2/10,2/10,4/10,5,1,Inactive,Rarely Active
Member_48,Chair,9/10,9/10,9/10,30,8,Very Active,Active
Member_49,Division Head,8/10,8/10,9/10,25,4,Very Active,Active
Member_50,Secretary,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_51,Supervisor,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_52,Staff,10/10,10/10,10/10,47,16,Very Active,Very Active
Member_53,Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_54,Vice Division Head,4/10,2/10,3/10,4,1,Inactive,Rarely Active
Member_55,Division Head,10/10,10/10,10/10,60,20,Very Active,Very Active
Member_56,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_57,Staff,10/10,10/10,10/10,41,10,Very Active,Very Active
Member_58,Staff,2/10,1/10,3/10,5,0,Rarely Active,Rarely Active
Member_59,Staff,8/10,9/10,8/10,15,6,Active,Active
Member_60,Staff,10/10,10/10,10/10,44,19,Very Active,Very Active
Member_61,Staff,3/10,4/10,1/10,2,1,Inactive,Rarely Active
Member_62,Division Head,5/10,6/10,6/10,7,1,Active,Moderate
Member_63,Vice Division Head,10/10,10/10,10/10,32,18,Very Active,Very Active
Member_64,Division Head,1/10,2/10,2/10,4,1,Rarely Active,Rarely Active
Member_65,Supervisor,8/10,8/10,9/10,18,4,Very Active,Active
Member_66,Deputy Department Head,10/10,10/10,10/10,31,20,Very Active,Very Active
Member_67,Vice Division Head,10/10,10/10,10/10,47,13,Very Active,Very Active
Member_68,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_69,Department Head,9/10,8/10,9/10,27,4,Active,Active
Member_70,Staff,10/10,10/10,10/10,30,15,Very Active,Very Active
Member_71,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_72,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_73,Secretary,8/10,8/10,9/10,24,7,Very Active,Active
Member_74,Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_75,Department Head,8/10,8/10,9/10,25,8,Very Active,Active
Member_76,Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_77,Deputy Department Head,1/10,0/10,0/10,0,0,Inactive,Inactive
Member_78,Supervisor,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_79,Department Head,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_80,Staff,4/10,1/10,3/10,2,0,Rarely Active,Rarely Active
Member_81,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_82,Staff,5/10,7/10,6/10,14,1,Moderate,Moderate
Member_83,Staff,10/10,10/10,10/10,42,16,Very Active,Very Active
Member_84,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_85,Staff,9/10,8/10,9/10,26,7,Active,Active
Member_86,Staff,9/10,8/10,8/10,29,5,Very Active,Active
Member_87,Staff,9/10,9/10,8/10,15,7,Very Active,Active
Member_88,Deputy Department Head,10/10,10/10,10/10,54,16,Very Active,Very Active
Member_89,Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_90,Staff,9/10,8/10,8/10,17,5,Very Active,Active
Member_91,Division Head,3/10,1/10,1/10,2,1,Rarely Active,Rarely Active
Member_92,Department Head,4/10,2/10,3/10,4,1,Inactive,Rarely Active
Member_93,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_94,Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_95,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_96,Department Head,10/10,10/10,10/10,35,12,Very Active,Very Active
Member_97,Secretary,1/10,0/10,1/10,0,0,Inactive,Inactive
Member_98,Staff,8/10,8/10,9/10,24,5,Active,Active
Member_99,Department Head,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_100,Staff,10/10,10/10,10/10,30,15,Very Active,Very Active
Member_101,Staff,10/10,10/10,10/10,51,11,Very Active,Very Active
Member_102,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_103,Staff,10/10,10/10,10/10,45,13,Very Active,Very Active
Member_104,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_105,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_106,Staff,10/10,10/10,10/10,31,20,Very Active,Very Active
Member_107,Staff,6/10,5/10,6/10,9,2,Rarely Active,Moderate
Member_108,Staff,8/10,8/10,8/10,26,4,Very Active,Active
Member_109,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_110,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_111,Supervisor,10/10,10/10,10/10,40,18,Very Active,Very Active
Member_112,Secretary,10/10,10/10,10/10,52,10,Very Active,Very Active
Member_113,Staff,10/10,10/10,10/10,34,19,Very Active,Very Active
Member_114,Vice Division Head,9/10,8/10,8/10,20,5,Active,Active
Member_115,Staff,10/10,10/10,10/10,33,15,Very Active,Very Active
Member_116,Staff,10/10,10/10,10/10,50,20,Very Active,Very Active
Member_117,Secretary,6/10,4/10,6/10,12,3,Moderate,Moderate
Member_118,Treasurer,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_119,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_120,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_121,Department Head,1/10,0/10,0/10,0,0,Inactive,Inactive
Member_122,Staff,10/10,10/10,10/10,41,18,Very Active,Very Active
Member_123,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_124,Division Head,10/10,10/10,10/10,35,11,Very Active,Very Active
Member_125,Staff,9/10,9/10,8/10,17,5,Very Active,Active
Member_126,Staff,8/10,9/10,8/10,28,5,Active,Active
Member_127,Staff,9/10,8/10,8/10,21,10,Very Active,Active
Member_128,Staff,3/10,3/10,2/10,4,0,Rarely Active,Rarely Active
Member_129,Division Head,10/10,10/10,10/10,46,18,Very Active,Very Active
Member_130,Secretary,10/10,10/10,10/10,46,13,Very Active,Very Active
Member_131,Staff,5/10,7/10,7/10,9,2,Moderate,Moderate
Member_132,Deputy Department Head,9/10,10/10,9/10,19,4,Very Active,Active
Member_133,Department Head,10/10,10/10,10/10,49,17,Very Active,Very Active
Member_134,Secretary,9/10,8/10,9/10,30,6,Very Active,Active
Member_135,Secretary,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_136,Supervisor,10/10,10/10,10/10,55,20,Very Active,Very Active
Member_137,Vice Division Head,2/10,3/10,3/10,3,1,Rarely Active,Rarely Active
Member_138,Staff,2/10,2/10,4/10,3,1,Inactive,Rarely Active
Member_139,Supervisor,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_140,Staff,10/10,10/10,10/10,50,19,Very Active,Very Active
Member_141,Staff,5/10,6/10,6/10,15,3,Rarely Active,Moderate
Member_142,Vice Division Head,8/10,8/10,8/10,18,9,Active,Active
Member_143,Supervisor,10/10,10/10,10/10,34,16,Very Active,Very Active
Member_144,Staff,2/10,3/10,4/10,1,0,Rarely Active,Rarely Active
Member_145,Staff,10/10,10/10,10/10,60,11,Very Active,Very Active
Member_146,Staff,4/10,3/10,3/10,2,0,Rarely Active,Rarely Active
Member_147,Division Head,4/10,4/10,2/10,4,0,Inactive,Rarely Active
Member_148,Department Head,10/10,10/10,10/10,41,11,Very Active,Very Active
Member_149,Division Head,10/10,10/10,10/10,42,10,Very Active,Very Active
Member_150,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_151,Staff,10/10,10/10,10/10,38,13,Very Active,Very Active
Member_152,Department Head,2/10,2/10,1/10,3,1,Inactive,Rarely Active
Member_153,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_154,Division Head,3/10,4/10,4/10,3,1,Rarely Active,Rarely Active
Member_155,Deputy Department Head,6/10,5/10,6/10,10,2,Active,Moderate
Member_156,Supervisor,2/10,3/10,2/10,5,0,Inactive,Rarely Active
Member_157,Vice Chair,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_158,Vice Chair,2/10,2/10,2/10,4,1,Inactive,Rarely Active
Member_159,Staff,5/10,7/10,6/10,5,3,Moderate,Moderate
Member_160,Vice Division Head,5/10,6/10,4/10,8,2,Active,Moderate
Member_161,Staff,5/10,7/10,4/10,8,3,Active,Moderate
Member_162,Staff,1/10,4/10,3/10,1,1,Inactive,Rarely Active
Member_163,Vice Division Head,10/10,10/10,10/10,60,19,Very Active,Very Active
Member_164,Vice Division Head,10/10,10/10,10/10,41,16,Very Active,Very Active
Member_165,Deputy Department Head,5/10,4/10,4/10,10,3,Rarely Active,Moderate
Member_166,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_167,Staff,8/10,9/10,8/10,20,3,Very Active,Active
Member_168,Staff,6/10,4/10,6/10,6,2,Active,Moderate
Member_169,Staff,7/10,7/10,4/10,11,3,Active,Moderate
Member_170,Staff,10/10,10/10,10/10,57,12,Very Active,Very Active
Member_171,Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_172,Secretary,10/10,9/10,9/10,16,8,Very Active,Active
Member_173,Division Head,10/10,10/10,10/10,47,20,Very Active,Very Active
Member_174,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_175,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_176,Staff,4/10,4/10,2/10,5,1,Rarely Active,Rarely Active
Member_177,Staff,10/10,10/10,10/10,53,12,Very Active,Very Active
Member_178,Vice Division Head,10/10,10/10,10/10,35,18,Very Active,Very Active
Member_179,Deputy Department Head,10/10,10/10,10/10,52,15,Very Active,Very Active
Member_180,Treasurer,5/10,7/10,6/10,15,3,Rarely Active,Moderate
Member_181,Staff,10/10,10/10,10/10,31,13,Very Active,Very Active
Member_182,Division Head,10/10,10/10,10/10,31,12,Very Active,Very Active
Member_183,Department Head,1/10,4/10,2/10,4,1,Inactive,Rarely Active
Member_184,Division Head,1/10,1/10,0/10,0,0,Inactive,Inactive
Member_185,Staff,10/10,10/10,10/10,51,17,Very Active,Very Active
Member_186,Supervisor,9/10,10/10,8/10,25,6,Active,Active
Member_187,Staff,10/10,10/10,10/10,31,10,Very Active,Very Active
Member_188,Department Head,2/10,3/10,3/10,5,1,Rarely Active,Rarely Active
Member_189,Staff,10/10,10/10,10/10,52,18,Very Active,Very Active
Member_190,Vice Division Head,10/10,10/10,10/10,39,16,Very Active,Very Active
Member_191,Department Head,10/10,10/10,10/10,47,15,Very Active,Very Active
Member_192,Division Head,9/10,9/10,9/10,26,5,Very Active,Active
Member_193,Vice Division Head,10/10,10/10,10/10,50,14,Very Active,Very Active
Member_194,Staff,8/10,8/10,9/10,26,3,Very Active,Active
Member_195,Staff,10/10,10/10,10/10,41,12,Very Active,Very Active
Member_196,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_197,Staff,3/10,1/10,3/10,2,1,Inactive,Rarely Active
Member_198,Staff,7/10,4/10,6/10,15,2,Active,Moderate
Member_199,Staff,5/10,4/10,4/10,10,2,Rarely Active,Moderate
Member_200,Staff,8/10,9/10,8/10,30,3,Very Active,Active
Member_201,Staff,10/10,10/10,10/10,51,13,Very Active,Very Active
Member_202,Supervisor,10/10,10/10,10/10,34,19,Very Active,Very Active
Member_203,Staff,10/10,10/10,10/10,36,18,Very Active,Very Active
Member_204,Vice Division Head,9/10,8/10,9/10,20,6,Very Active,Active
Member_205,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_206,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_207,Vice Division Head,10/10,10/10,10/10,57,20,Very Active,Very Active
Member_208,Staff,2/10,1/10,2/10,5,0,Inactive,Rarely Active
Member_209,Department Head,10/10,10/10,10/10,35,14,Very Active,Very Active
Member_210,Chair,10/10,10/10,10/10,42,11,Very Active,Very Active
Member_211,Treasurer,10/10,10/10,10/10,37,17,Very Active,Very Active
Member_212,Vice Division Head,9/10,8/10,9/10,18,3,Active,Active
Member_213,Staff,4/10,4/10,2/10,4,1,Rarely Active,Rarely Active
Member_214,Department Head,10/10,10/10,10/10,51,15,Very Active,Very Active
Member_215,Vice Division Head,1/10,1/10,2/10,5,0,Rarely Active,Rarely Active
Member_216,Supervisor,9/10,9/10,9/10,16,6,Very Active,Active
Member_217,Staff,10/10,10/10,10/10,34,15,Very Active,Very Active
Member_218,Treasurer,10/10,10/10,10/10,44,12,Very Active,Very Active
Member_219,Division Head,10/10,10/10,10/10,50,15,Very Active,Very Active
Member_220,Department Head,10/10,10/10,10/10,42,17,Very Active,Very Active
Member_221,Supervisor,1/10,2/10,3/10,2,0,Rarely Active,Rarely Active
Member_222,Staff,7/10,7/10,6/10,5,2,Moderate,Moderate
Member_223,Supervisor,2/10,3/10,2/10,4,0,Inactive,Rarely Active
Member_224,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_225,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_226,Division Head,6/10,6/10,6/10,12,3,Rarely Active,Moderate
Member_227,Staff,10/10,10/10,10/10,31,19,Very Active,Very Active
Member_228,Division Head,10/10,10/10,10/10,33,14,Very Active,Very Active
Member_229,Vice Division Head,8/10,8/10,8/10,30,3,Active,Active
Member_230,Vice Division Head,10/10,10/10,10/10,54,19,Very Active,Very Active
Member_231,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_232,Chair,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_233,Supervisor,8/10,9/10,8/10,29,7,Active,Active
Member_234,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_235,Deputy Department Head,8/10,9/10,9/10,19,6,Very Active,Active
Member_236,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_237,Staff,9/10,9/10,9/10,17,6,Active,Active
Member_238,Treasurer,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_239,Staff,10/10,9/10,9/10,28,3,Active,Active
Member_240,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_241,Staff,2/10,1/10,3/10,4,1,Inactive,Rarely Active
Member_242,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_243,Supervisor,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_244,Staff,1/10,3/10,3/10,1,0,Rarely Active,Rarely Active
Member_245,Deputy Department Head,10/10,10/10,10/10,35,18,Very Active,Very Active
Member_246,Staff,2/10,3/10,3/10,4,0,Rarely Active,Rarely Active
Member_247,Staff,9/10,9/10,8/10,24,7,Very Active,Active
Member_248,Staff,4/10,2/10,2/10,5,1,Rarely Active,Rarely Active
Member_249,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_250,Deputy Department Head,6/10,5/10,7/10,15,1,Moderate,Moderate
Member_251,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_252,Secretary,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_253,Staff,10/10,10/10,10/10,45,11,Very Active,Very Active
Member_254,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_255,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_256,Chair,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_257,Department Head,5/10,7/10,4/10,5,1,Moderate,Moderate
Member_258,Staff,10/10,10/10,10/10,42,20,Very Active,Very Active
Member_259,Staff,1/10,2/10,3/10,5,1,Rarely Active,Rarely Active
Member_260,Supervisor,4/10,7/10,4/10,6,1,Active,Moderate
Member_261,Department Head,4/10,3/10,3/10,1,1,Inactive,Rarely Active
Member_262,Division Head,10/10,10/10,10/10,31,14,Very Active,Very Active
Member_263,Staff,10/10,10/10,10/10,42,10,Very Active,Very Active
Member_264,Chair,8/10,8/10,9/10,19,8,Very Active,Active
Member_265,Staff,7/10,6/10,6/10,5,2,Active,Moderate
Member_266,Staff,10/10,10/10,10/10,46,15,Very Active,Very Active
Member_267,Vice Chair,0/10,0/10,1/10,0,0,Inactive,Inactive
Member_268,Chair,1/10,0/10,0/10,0,0,Inactive,Inactive
Member_269,Deputy Department Head,3/10,3/10,3/10,4,0,Rarely Active,Rarely Active
Member_270,Vice Chair,5/10,4/10,4/10,6,1,Active,Moderate
Member_271,Staff,2/10,4/10,2/10,5,0,Inactive,Rarely Active
Member_272,Treasurer,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_273,Treasurer,10/10,10/10,10/10,47,11,Very Active,Very Active
Member_274,Staff,8/10,8/10,9/10,20,9,Active,Active
Member_275,Staff,10/10,10/10,10/10,53,11,Very Active,Very Active
Member_276,Division Head,10/10,10/10,10/10,31,11,Very Active,Very Active
Member_277,Staff,10/10,10/10,10/10,30,10,Very Active,Very Active
Member_278,Vice Division Head,1/10,0/10,0/10,0,0,Inactive,Inactive
Member_279,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_280,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_281,Supervisor,10/10,10/10,10/10,54,14,Very Active,Very Active
Member_282,Chair,10/10,10/10,10/10,35,16,Very Active,Very Active
Member_283,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_284,Supervisor,5/10,7/10,7/10,8,3,Rarely Active,Moderate
Member_285,Staff,10/10,10/10,10/10,38,11,Very Active,Very Active
Member_286,Secretary,1/10,1/10,0/10,0,0,Inactive,Inactive
Member_287,Staff,10/10,10/10,10/10,33,13,Very Active,Very Active
Member_288,Staff,8/10,9/10,8/10,18,9,Active,Active
Member_289,Deputy Department Head,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_290,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_291,Vice Division Head,8/10,8/10,8/10,16,10,Active,Active
Member_292,Vice Division Head,8/10,8/10,8/10,26,10,Active,Active
Member_293,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_294,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_295,Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_296,Treasurer,10/10,10/10,10/10,41,18,Very Active,Very Active
Member_297,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_298,Vice Chair,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_299,Staff,4/10,6/10,5/10,10,1,Active,Moderate
Member_300,Department Head,10/10,10/10,10/10,30,15,Very Active,Very Active
Member_301,Supervisor,8/10,8/10,9/10,29,3,Active,Active
Member_302,Vice Division Head,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_303,Staff,3/10,2/10,2/10,5,1,Inactive,Rarely Active
Member_304,Division Head,0/10,0/10,1/10,0,0,Inactive,Inactive
Member_305,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_306,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_307,Supervisor,1/10,3/10,2/10,4,0,Rarely Active,Rarely Active
Member_308,Staff,9/10,8/10,8/10,19,8,Active,Active
Member_309,Staff,5/10,5/10,7/10,7,3,Rarely Active,Moderate
Member_310,Staff,6/10,5/10,4/10,11,1,Moderate,Moderate
Member_311,Staff,8/10,9/10,9/10,22,6,Active,Active
Member_312,Treasurer,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_313,Staff,10/10,10/10,10/10,47,19,Very Active,Very Active
Member_314,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_315,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_316,Deputy Department Head,10/10,10/10,10/10,56,20,Very Active,Very Active
Member_317,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_318,Treasurer,8/10,8/10,8/10,25,7,Active,Active
Member_319,Staff,10/10,10/10,10/10,31,14,Very Active,Very Active
Member_320,Staff,9/10,8/10,9/10,17,4,Very Active,Active
Member_321,Division Head,10/10,10/10,10/10,45,13,Very Active,Very Active
Member_322,Staff,4/10,1/10,2/10,1,1,Rarely Active,Rarely Active
Member_323,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_324,Staff,5/10,6/10,5/10,7,1,Active,Moderate
Member_325,Department Head,1/10,0/10,0/10,0,0,Inactive,Inactive
Member_326,Staff,6/10,6/10,5/10,11,3,Active,Moderate
Member_327,Division Head,1/10,1/10,1/10,2,1,Rarely Active,Rarely Active
Member_328,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_329,Staff,8/10,9/10,9/10,16,10,Very Active,Active
Member_330,Secretary,8/10,8/10,8/10,24,3,Active,Active
Member_331,Staff,10/10,10/10,10/10,41,19,Very Active,Very Active
Member_332,Staff,10/10,10/10,10/10,50,18,Very Active,Very Active
Member_333,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_334,Division Head,10/10,10/10,10/10,43,18,Very Active,Very Active
Member_335,Secretary,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_336,Supervisor,4/10,5/10,6/10,11,2,Rarely Active,Moderate
Member_337,Vice Chair,9/10,8/10,9/10,30,8,Very Active,Active
Member_338,Staff,10/10,10/10,10/10,32,16,Very Active,Very Active
Member_339,Department Head,10/10,10/10,10/10,50,19,Very Active,Very Active
Member_340,Staff,9/10,8/10,8/10,23,6,Active,Active
Member_341,Staff,5/10,4/10,7/10,8,1,Rarely Active,Moderate
Member_342,Staff,10/10,10/10,10/10,58,20,Very Active,Very Active
Member_343,Staff,5/10,6/10,7/10,6,3,Active,Moderate
Member_344,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_345,Staff,10/10,10/10,10/10,35,19,Very Active,Very Active
Member_346,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_347,Vice Division Head,2/10,4/10,2/10,5,1,Inactive,Rarely Active
Member_348,Staff,10/10,10/10,10/10,39,16,Very Active,Very Active
Member_349,Department Head,8/10,9/10,9/10,15,8,Active,Active
Member_350,Staff,10/10,10/10,10/10,51,11,Very Active,Very Active
Member_351,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_352,Staff,3/10,1/10,2/10,4,1,Inactive,Rarely Active
Member_353,Department Head,10/10,10/10,10/10,43,11,Very Active,Very Active
Member_354,Staff,7/10,7/10,5/10,13,1,Active,Moderate
Member_355,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_356,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_357,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_358,Deputy Department Head,8/10,8/10,8/10,15,6,Active,Active
Member_359,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_360,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_361,Vice Chair,10/10,10/10,10/10,58,18,Very Active,Very Active
Member_362,Staff,10/10,10/10,10/10,31,20,Very Active,Very Active
Member_363,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_364,Staff,8/10,4/10,5/10,13,3,Rarely Active,Moderate
Member_365,Deputy Department Head,9/10,8/10,8/10,29,3,Very Active,Active
Member_366,Staff,8/10,8/10,8/10,24,7,Very Active,Active
Member_367,Vice Division Head,8/10,8/10,9/10,25,6,Very Active,Active
Member_368,Staff,8/10,9/10,9/10,22,9,Very Active,Active
Member_369,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_370,Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_371,Staff,10/10,10/10,10/10,40,13,Very Active,Very Active
Member_372,Staff,8/10,8/10,9/10,16,9,Active,Active
Member_373,Supervisor,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_374,Staff,8/10,9/10,8/10,26,9,Active,Active
Member_375,Staff,10/10,10/10,10/10,40,12,Very Active,Very Active
Member_376,Treasurer,5/10,5/10,5/10,5,2,Rarely Active,Moderate
Member_377,Deputy Department Head,6/10,4/10,6/10,6,1,Moderate,Moderate
Member_378,Staff,2/10,2/10,2/10,1,1,Inactive,Rarely Active
Member_379,Staff,10/10,10/10,10/10,37,17,Very Active,Very Active
Member_380,Staff,9/10,8/10,9/10,28,3,Very Active,Active
Member_381,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_382,Deputy Department Head,8/10,9/10,9/10,23,4,Very Active,Active
Member_383,Staff,10/10,10/10,10/10,34,15,Very Active,Very Active
Member_384,Vice Division Head,5/10,5/10,7/10,5,3,Moderate,Moderate
Member_385,Department Head,5/10,5/10,8/10,7,1,Moderate,Moderate
